Seq. ID.	Class	AMP Probability
PROTEIN_63	NAMP	0.00
PROTEIN_64	AMP	0.95
PROTEIN_65	AMP	0.97
PROTEIN_66	NAMP	0.00
PROTEIN_67	AMP	0.97
PROTEIN_68	NAMP	0.02
PROTEIN_69	NAMP	0.00
PROTEIN_70	AMP	0.68
PROTEIN_71	AMP	0.66
PROTEIN_72	AMP	0.83
PROTEIN_73	AMP	0.92
PROTEIN_74	AMP	0.94
PROTEIN_75	AMP	0.86
PROTEIN_76	AMP	0.97
PROTEIN_77	NAMP	0.21
PROTEIN_78	AMP	0.95
PROTEIN_79	AMP	0.79
PROTEIN_80	AMP	0.92
PROTEIN_81	NAMP	0.07
PROTEIN_82	NAMP	0.09
PROTEIN_83	AMP	0.92
PROTEIN_84	AMP	0.97
PROTEIN_85	NAMP	0.34
PROTEIN_86	NAMP	0.12
PROTEIN_87	AMP	0.89
PROTEIN_88	AMP	0.83
PROTEIN_89	AMP	0.95
PROTEIN_90	AMP	0.75
PROTEIN_91	AMP	0.98
PROTEIN_92	AMP	0.86
PROTEIN_93	AMP	0.92
PROTEIN_94	AMP	0.56
PROTEIN_95	AMP	0.55
PROTEIN_96	AMP	0.82
PROTEIN_97	AMP	0.88
PROTEIN_98	AMP	0.97
PROTEIN_99	AMP	0.61
PROTEIN_100	AMP	0.96
PROTEIN_101	AMP	0.93
PROTEIN_102	NAMP	0.34
PROTEIN_103	AMP	0.93
PROTEIN_104	AMP	0.55
PROTEIN_105	AMP	0.97
PROTEIN_106	NAMP	0.43
PROTEIN_107	NAMP	0.42
PROTEIN_108	AMP	0.83
PROTEIN_109	NAMP	0.11
PROTEIN_110	AMP	0.97
PROTEIN_111	AMP	0.99
PROTEIN_112	AMP	0.81
PROTEIN_113	AMP	0.64
PROTEIN_114	AMP	0.95
PROTEIN_115	AMP	0.93
PROTEIN_116	AMP	0.97
PROTEIN_117	NAMP	0.36
PROTEIN_118	AMP	0.63
PROTEIN_119	AMP	0.79
PROTEIN_120	AMP	0.83
PROTEIN_121	AMP	0.96
PROTEIN_122	AMP	0.95
PROTEIN_123	NAMP	0.35
PROTEIN_124	AMP	0.99
PROTEIN_125	AMP	0.53
PROTEIN_126	AMP	1.00
PROTEIN_127	AMP	0.71
PROTEIN_128	AMP	0.99
PROTEIN_129	NAMP	0.00
PROTEIN_130	AMP	0.63
PROTEIN_131	AMP	0.95
PROTEIN_132	NAMP	0.38
PROTEIN_133	AMP	0.81
PROTEIN_134	AMP	0.68
PROTEIN_135	AMP	0.55
PROTEIN_136	AMP	0.91
PROTEIN_137	AMP	0.97
PROTEIN_138	AMP	0.55
PROTEIN_139	AMP	0.89
PROTEIN_140	AMP	0.87
PROTEIN_141	AMP	0.87
PROTEIN_142	AMP	0.66
PROTEIN_143	AMP	0.91
PROTEIN_144	AMP	0.91
PROTEIN_145	NAMP	0.32
PROTEIN_146	AMP	0.62
PROTEIN_147	AMP	0.71
PROTEIN_148	NAMP	0.01
PROTEIN_149	AMP	0.67
PROTEIN_150	AMP	0.97
PROTEIN_151	NAMP	0.03
PROTEIN_152	AMP	0.76
PROTEIN_153	AMP	0.67
PROTEIN_154	AMP	0.55
PROTEIN_155	AMP	0.67
PROTEIN_156	NAMP	0.45
PROTEIN_157	AMP	0.98
PROTEIN_158	AMP	0.98
PROTEIN_159	NAMP	0.40
PROTEIN_160	NAMP	0.03
PROTEIN_161	AMP	0.91
PROTEIN_162	AMP	0.94
PROTEIN_163	AMP	0.97
PROTEIN_164	AMP	0.97
PROTEIN_165	AMP	0.84
PROTEIN_166	AMP	0.93
PROTEIN_167	NAMP	0.06
PROTEIN_168	AMP	0.68
PROTEIN_169	AMP	0.94
PROTEIN_170	AMP	0.66
PROTEIN_171	AMP	0.79
PROTEIN_172	AMP	0.62
PROTEIN_173	AMP	0.97
PROTEIN_174	AMP	0.96
PROTEIN_175	AMP	0.92
PROTEIN_176	AMP	0.62
PROTEIN_177	NAMP	0.04
PROTEIN_178	AMP	0.99
PROTEIN_179	AMP	0.67
PROTEIN_180	AMP	0.95
PROTEIN_181	AMP	0.80
PROTEIN_182	AMP	0.79
PROTEIN_183	AMP	0.96
PROTEIN_184	AMP	0.66
PROTEIN_185	NAMP	0.35
PROTEIN_186	AMP	0.69
PROTEIN_187	AMP	0.96
PROTEIN_188	AMP	0.96
PROTEIN_189	AMP	0.85
PROTEIN_190	NAMP	0.19
PROTEIN_191	AMP	0.71
PROTEIN_192	NAMP	0.15
PROTEIN_193	NAMP	0.07
PROTEIN_194	AMP	0.97
PROTEIN_195	NAMP	0.32
PROTEIN_196	NAMP	0.37
PROTEIN_197	NAMP	0.30
PROTEIN_198	AMP	0.85
PROTEIN_199	AMP	0.86
PROTEIN_200	AMP	0.65
PROTEIN_201	AMP	0.95
PROTEIN_202	NAMP	0.30
PROTEIN_203	NAMP	0.37
PROTEIN_204	NAMP	0.17
PROTEIN_205	NAMP	0.42
PROTEIN_206	AMP	0.65
PROTEIN_207	AMP	0.67
PROTEIN_208	AMP	0.88
PROTEIN_209	AMP	0.87
PROTEIN_210	AMP	0.99
PROTEIN_211	NAMP	0.15
PROTEIN_212	NAMP	0.02
PROTEIN_213	AMP	0.99
PROTEIN_214	NAMP	0.46
PROTEIN_215	AMP	0.99
PROTEIN_216	AMP	0.67
PROTEIN_217	AMP	0.90
PROTEIN_218	AMP	0.98
PROTEIN_219	NAMP	0.07
PROTEIN_220	AMP	0.91
PROTEIN_221	NAMP	0.13
PROTEIN_222	AMP	0.95
PROTEIN_223	AMP	0.93
PROTEIN_224	AMP	0.72
PROTEIN_225	AMP	0.55
PROTEIN_226	NAMP	0.32
PROTEIN_227	AMP	0.88
PROTEIN_228	NAMP	0.23
PROTEIN_229	AMP	0.87
PROTEIN_230	AMP	0.98
PROTEIN_231	AMP	0.55
PROTEIN_232	AMP	0.93
PROTEIN_233	NAMP	0.09
PROTEIN_234	AMP	0.88
PROTEIN_235	AMP	0.61
PROTEIN_236	AMP	0.87
PROTEIN_237	AMP	1.00
PROTEIN_238	NAMP	0.09
PROTEIN_239	AMP	0.70
PROTEIN_240	AMP	0.88
PROTEIN_241	AMP	0.82
PROTEIN_242	NAMP	0.49
PROTEIN_243	AMP	0.96
PROTEIN_244	AMP	0.59
PROTEIN_245	AMP	0.89
PROTEIN_246	AMP	0.52
PROTEIN_247	AMP	0.98
PROTEIN_248	AMP	0.72
PROTEIN_249	AMP	0.83
PROTEIN_250	NAMP	0.13
PROTEIN_251	AMP	0.59
PROTEIN_252	AMP	0.53
PROTEIN_253	AMP	0.99
PROTEIN_254	NAMP	0.32
PROTEIN_255	AMP	0.85
PROTEIN_256	NAMP	0.07
PROTEIN_257	AMP	0.64
PROTEIN_258	AMP	0.69
PROTEIN_259	AMP	0.93
PROTEIN_260	NAMP	0.05
PROTEIN_261	AMP	0.67
PROTEIN_262	AMP	0.89
PROTEIN_263	AMP	0.97
PROTEIN_264	AMP	0.85
PROTEIN_265	AMP	0.81
PROTEIN_266	AMP	0.90
PROTEIN_267	NAMP	0.40
PROTEIN_268	AMP	0.98
PROTEIN_269	AMP	0.74
PROTEIN_270	AMP	0.93
PROTEIN_271	AMP	0.70
PROTEIN_272	NAMP	0.18
PROTEIN_273	NAMP	0.00
PROTEIN_274	AMP	0.99
PROTEIN_275	AMP	0.54
PROTEIN_276	AMP	0.84
PROTEIN_277	NAMP	0.04
PROTEIN_278	AMP	0.97
PROTEIN_279	NAMP	0.41
PROTEIN_280	AMP	0.73
PROTEIN_281	AMP	0.98
PROTEIN_282	AMP	0.71
PROTEIN_283	AMP	0.86
PROTEIN_284	AMP	0.86
PROTEIN_285	AMP	0.71
PROTEIN_286	NAMP	0.43
PROTEIN_287	AMP	0.61
PROTEIN_288	AMP	0.66
PROTEIN_289	AMP	0.69
PROTEIN_290	AMP	0.79
PROTEIN_291	AMP	0.76
PROTEIN_292	AMP	0.85
PROTEIN_293	AMP	0.75
PROTEIN_294	NAMP	0.02
PROTEIN_295	AMP	0.69
PROTEIN_296	NAMP	0.08
PROTEIN_297	AMP	0.64
PROTEIN_298	NAMP	0.15
PROTEIN_299	AMP	0.79
PROTEIN_300	AMP	0.97
PROTEIN_301	NAMP	0.41
PROTEIN_302	NAMP	0.01
PROTEIN_303	AMP	0.58
PROTEIN_304	AMP	0.96
PROTEIN_305	NAMP	0.39
PROTEIN_306	NAMP	0.02
PROTEIN_307	AMP	0.99
PROTEIN_308	AMP	0.99
PROTEIN_309	NAMP	0.17
PROTEIN_310	AMP	0.68
PROTEIN_311	NAMP	0.10
PROTEIN_312	AMP	0.85
PROTEIN_313	AMP	0.52
PROTEIN_314	AMP	0.93
PROTEIN_315	NAMP	0.03
PROTEIN_316	AMP	0.99
PROTEIN_317	NAMP	0.38
PROTEIN_318	AMP	0.87
PROTEIN_319	NAMP	0.40
PROTEIN_320	AMP	0.71
PROTEIN_321	AMP	0.95
PROTEIN_322	NAMP	0.10
PROTEIN_323	NAMP	0.01
PROTEIN_324	AMP	0.95
PROTEIN_325	NAMP	0.00
PROTEIN_326	AMP	0.97
PROTEIN_327	AMP	0.82
PROTEIN_328	AMP	0.83
PROTEIN_329	AMP	0.77
PROTEIN_330	AMP	1.00
PROTEIN_331	NAMP	0.38
PROTEIN_332	NAMP	0.30
PROTEIN_333	NAMP	0.33
PROTEIN_334	NAMP	0.48
PROTEIN_335	AMP	0.93
PROTEIN_336	AMP	0.78
PROTEIN_337	AMP	0.98
PROTEIN_338	NAMP	0.03
PROTEIN_339	AMP	0.90
PROTEIN_340	AMP	0.79
PROTEIN_341	NAMP	0.22
PROTEIN_342	AMP	0.86
PROTEIN_343	AMP	0.90
PROTEIN_344	NAMP	0.00
PROTEIN_345	NAMP	0.50
PROTEIN_346	NAMP	0.00
PROTEIN_347	NAMP	0.03
PROTEIN_348	AMP	0.73
PROTEIN_349	AMP	0.96
PROTEIN_350	AMP	0.73
PROTEIN_351	NAMP	0.10
PROTEIN_352	AMP	0.86
PROTEIN_353	AMP	0.51
PROTEIN_354	AMP	0.91
PROTEIN_355	NAMP	0.26
PROTEIN_356	AMP	0.99
PROTEIN_357	AMP	0.72
PROTEIN_358	AMP	0.98
PROTEIN_359	AMP	0.92
PROTEIN_360	AMP	0.78
PROTEIN_361	AMP	0.70
PROTEIN_362	AMP	0.79
PROTEIN_363	AMP	0.88
PROTEIN_364	AMP	0.73
PROTEIN_365	NAMP	0.01
PROTEIN_366	NAMP	0.11
PROTEIN_367	AMP	0.81
PROTEIN_368	NAMP	0.47
PROTEIN_369	AMP	0.96
PROTEIN_370	AMP	0.76
PROTEIN_371	AMP	0.83
PROTEIN_372	AMP	0.56
PROTEIN_373	AMP	0.82
PROTEIN_374	AMP	0.96
PROTEIN_375	AMP	0.78
PROTEIN_376	AMP	0.93
PROTEIN_377	AMP	0.99
PROTEIN_378	AMP	0.92
PROTEIN_379	AMP	0.83
PROTEIN_380	AMP	0.71
PROTEIN_381	NAMP	0.02
PROTEIN_382	NAMP	0.01
PROTEIN_383	AMP	0.90
PROTEIN_384	NAMP	0.32
PROTEIN_385	AMP	0.95
PROTEIN_386	AMP	0.59
PROTEIN_387	AMP	1.00
PROTEIN_388	AMP	0.77
PROTEIN_389	NAMP	0.08
PROTEIN_390	AMP	0.91
PROTEIN_391	NAMP	0.47
PROTEIN_392	AMP	0.62
PROTEIN_393	AMP	0.97
PROTEIN_394	AMP	0.91
PROTEIN_395	AMP	0.59
PROTEIN_396	AMP	0.97
PROTEIN_397	NAMP	0.49
PROTEIN_398	AMP	0.84
PROTEIN_399	AMP	0.86
PROTEIN_400	AMP	0.87
PROTEIN_401	NAMP	0.01
PROTEIN_402	AMP	0.75
PROTEIN_403	AMP	0.53
PROTEIN_404	NAMP	0.24
PROTEIN_405	NAMP	0.32
PROTEIN_406	AMP	0.53
PROTEIN_407	AMP	0.92
PROTEIN_408	NAMP	0.00
PROTEIN_409	AMP	0.96
PROTEIN_410	AMP	0.98
PROTEIN_411	AMP	0.69
PROTEIN_412	AMP	0.87
PROTEIN_413	AMP	0.86
PROTEIN_414	AMP	0.99
PROTEIN_415	AMP	0.85
PROTEIN_416	NAMP	0.00
PROTEIN_417	NAMP	0.28
PROTEIN_418	AMP	0.80
PROTEIN_419	AMP	0.86
PROTEIN_420	NAMP	0.12
PROTEIN_421	NAMP	0.15
PROTEIN_422	AMP	0.91
PROTEIN_423	AMP	0.73
PROTEIN_424	AMP	0.99
PROTEIN_425	NAMP	0.08
PROTEIN_426	AMP	0.98
PROTEIN_427	NAMP	0.44
PROTEIN_428	AMP	0.65
PROTEIN_429	NAMP	0.00
PROTEIN_430	AMP	0.96
PROTEIN_431	AMP	0.67
PROTEIN_432	AMP	0.99
PROTEIN_433	AMP	0.95
PROTEIN_434	AMP	0.98
PROTEIN_435	AMP	0.90
PROTEIN_436	AMP	0.98
PROTEIN_437	NAMP	0.31
PROTEIN_438	AMP	0.81
PROTEIN_439	NAMP	0.13
PROTEIN_440	AMP	0.95
PROTEIN_441	AMP	0.80
PROTEIN_442	AMP	0.84
PROTEIN_443	AMP	0.95
PROTEIN_444	NAMP	0.49
PROTEIN_445	AMP	0.51
PROTEIN_446	NAMP	0.02
PROTEIN_447	AMP	0.84
PROTEIN_448	NAMP	0.21
PROTEIN_449	NAMP	0.02
PROTEIN_450	NAMP	0.48
PROTEIN_451	AMP	0.58
PROTEIN_452	NAMP	0.06
PROTEIN_453	AMP	0.98
PROTEIN_454	AMP	0.98
PROTEIN_455	AMP	0.72
PROTEIN_456	AMP	0.91
PROTEIN_457	AMP	1.00
PROTEIN_458	AMP	0.99
PROTEIN_459	AMP	0.89
PROTEIN_460	AMP	0.96
PROTEIN_461	AMP	0.69
PROTEIN_462	NAMP	0.24
PROTEIN_463	AMP	0.97
PROTEIN_464	AMP	1.00
PROTEIN_465	AMP	0.98
PROTEIN_466	AMP	0.54
PROTEIN_467	AMP	0.50
PROTEIN_468	NAMP	0.15
PROTEIN_469	AMP	0.68
PROTEIN_470	AMP	0.98
PROTEIN_471	AMP	0.90
PROTEIN_472	AMP	0.79
PROTEIN_473	AMP	0.99
PROTEIN_474	AMP	0.65
PROTEIN_475	NAMP	0.32
PROTEIN_476	AMP	0.94
PROTEIN_477	NAMP	0.41
PROTEIN_478	AMP	0.99
PROTEIN_479	AMP	0.54
PROTEIN_480	NAMP	0.00
PROTEIN_481	AMP	0.95
PROTEIN_482	AMP	0.89
PROTEIN_483	AMP	0.72
PROTEIN_484	NAMP	0.41
PROTEIN_485	NAMP	0.26
PROTEIN_486	AMP	0.95
PROTEIN_487	NAMP	0.01
PROTEIN_488	AMP	0.85
PROTEIN_489	AMP	0.87
PROTEIN_490	NAMP	0.13
PROTEIN_491	NAMP	0.39
PROTEIN_492	NAMP	0.19
PROTEIN_493	NAMP	0.02
PROTEIN_494	AMP	0.80
PROTEIN_495	AMP	0.97
PROTEIN_496	AMP	0.65
PROTEIN_497	AMP	0.89
PROTEIN_498	AMP	0.60
PROTEIN_499	AMP	0.95
PROTEIN_500	NAMP	0.25
PROTEIN_501	NAMP	0.47
PROTEIN_502	NAMP	0.34
PROTEIN_503	AMP	0.82
PROTEIN_504	AMP	0.71
PROTEIN_505	AMP	0.82
PROTEIN_506	AMP	0.70
PROTEIN_507	AMP	0.89
PROTEIN_508	AMP	0.99
PROTEIN_509	NAMP	0.00
PROTEIN_510	NAMP	0.31
PROTEIN_511	NAMP	0.40
PROTEIN_512	AMP	0.97
PROTEIN_513	AMP	0.99
PROTEIN_514	AMP	0.69
PROTEIN_515	NAMP	0.28
PROTEIN_516	AMP	0.98
PROTEIN_517	AMP	0.73
PROTEIN_518	AMP	0.60
PROTEIN_519	AMP	0.89
PROTEIN_520	AMP	0.79
PROTEIN_521	AMP	0.99
PROTEIN_522	AMP	0.92
PROTEIN_523	AMP	0.88
PROTEIN_524	NAMP	0.22
PROTEIN_525	NAMP	0.47
PROTEIN_526	NAMP	0.22
PROTEIN_527	NAMP	0.01
PROTEIN_528	NAMP	0.00
PROTEIN_529	NAMP	0.26
PROTEIN_530	AMP	0.96
PROTEIN_531	AMP	0.79
PROTEIN_532	AMP	0.72
PROTEIN_533	AMP	0.75
PROTEIN_534	AMP	0.81
PROTEIN_535	NAMP	0.19
PROTEIN_536	AMP	0.93
PROTEIN_537	NAMP	0.09
PROTEIN_538	AMP	0.93
PROTEIN_539	AMP	0.93
PROTEIN_540	AMP	0.75
PROTEIN_541	AMP	0.96
PROTEIN_542	AMP	0.85
PROTEIN_543	NAMP	0.09
PROTEIN_544	AMP	0.83
PROTEIN_545	AMP	0.99
PROTEIN_546	NAMP	0.05
PROTEIN_547	AMP	0.70
PROTEIN_548	AMP	0.63
PROTEIN_549	AMP	0.96
PROTEIN_550	AMP	0.97
PROTEIN_551	AMP	0.79
PROTEIN_552	NAMP	0.00
PROTEIN_553	AMP	0.93
PROTEIN_554	AMP	0.73
PROTEIN_555	AMP	0.99
PROTEIN_556	NAMP	0.04
PROTEIN_557	AMP	0.92
PROTEIN_558	AMP	0.89
PROTEIN_559	AMP	0.98
PROTEIN_560	AMP	0.62
PROTEIN_561	AMP	0.99
PROTEIN_562	AMP	0.86
PROTEIN_563	AMP	0.69
PROTEIN_564	NAMP	0.00
PROTEIN_565	AMP	0.95
PROTEIN_566	AMP	0.65
PROTEIN_567	AMP	0.98
PROTEIN_568	NAMP	0.16
PROTEIN_569	NAMP	0.36
PROTEIN_570	AMP	0.82
PROTEIN_571	AMP	0.93
PROTEIN_572	NAMP	0.35
PROTEIN_573	AMP	0.86
PROTEIN_574	AMP	0.95
PROTEIN_575	AMP	0.96
PROTEIN_576	AMP	0.91
PROTEIN_577	AMP	0.99
PROTEIN_578	AMP	0.98
PROTEIN_579	NAMP	0.01
PROTEIN_580	AMP	0.81
PROTEIN_581	AMP	0.92
PROTEIN_582	NAMP	0.36
PROTEIN_583	AMP	0.81
PROTEIN_584	AMP	0.99
PROTEIN_585	AMP	0.93
PROTEIN_586	AMP	0.99
PROTEIN_587	NAMP	0.21
PROTEIN_588	AMP	0.97
PROTEIN_589	NAMP	0.11
PROTEIN_590	AMP	0.86
PROTEIN_591	NAMP	0.48
PROTEIN_592	AMP	1.00
PROTEIN_593	AMP	0.96
PROTEIN_594	AMP	0.96
PROTEIN_595	NAMP	0.47
PROTEIN_596	NAMP	0.44
PROTEIN_597	NAMP	0.45
PROTEIN_598	NAMP	0.28
PROTEIN_599	AMP	0.94
PROTEIN_600	AMP	0.89
PROTEIN_601	NAMP	0.50
PROTEIN_602	AMP	0.84
PROTEIN_603	AMP	0.72
PROTEIN_604	AMP	0.72
PROTEIN_605	AMP	0.79
PROTEIN_606	NAMP	0.04
PROTEIN_607	AMP	0.95
PROTEIN_608	NAMP	0.43
PROTEIN_609	NAMP	0.00
PROTEIN_610	AMP	0.95
PROTEIN_611	NAMP	0.16
PROTEIN_612	NAMP	0.47
PROTEIN_613	AMP	0.69
PROTEIN_614	AMP	0.75
PROTEIN_615	AMP	0.98
PROTEIN_616	AMP	0.57
PROTEIN_617	AMP	0.65
PROTEIN_618	AMP	0.52
PROTEIN_619	AMP	0.93
PROTEIN_620	AMP	0.86
PROTEIN_621	NAMP	0.17
PROTEIN_622	AMP	0.88
PROTEIN_623	AMP	0.99
PROTEIN_624	NAMP	0.41
PROTEIN_625	AMP	0.79
PROTEIN_626	AMP	0.96
PROTEIN_627	AMP	0.99
PROTEIN_628	AMP	0.91
PROTEIN_629	AMP	0.87
PROTEIN_630	AMP	0.60
PROTEIN_631	AMP	0.98
PROTEIN_632	AMP	0.65
PROTEIN_633	AMP	0.69
PROTEIN_634	AMP	0.97
PROTEIN_635	AMP	0.99
PROTEIN_636	AMP	0.95
PROTEIN_637	AMP	0.65
PROTEIN_638	AMP	0.99
PROTEIN_639	NAMP	0.30
PROTEIN_640	NAMP	0.15
PROTEIN_641	AMP	0.94
PROTEIN_642	AMP	0.97
PROTEIN_643	AMP	0.92
PROTEIN_644	AMP	0.89
PROTEIN_645	NAMP	0.30
PROTEIN_646	AMP	0.94
PROTEIN_647	NAMP	0.39
PROTEIN_648	NAMP	0.11
PROTEIN_649	NAMP	0.46
PROTEIN_650	NAMP	0.15
PROTEIN_651	AMP	0.66
PROTEIN_652	NAMP	0.02
PROTEIN_653	AMP	0.88
PROTEIN_654	AMP	0.98
PROTEIN_655	AMP	0.96
PROTEIN_656	NAMP	0.26
PROTEIN_657	AMP	0.58
PROTEIN_658	AMP	0.92
PROTEIN_659	AMP	0.84
PROTEIN_660	AMP	0.96
PROTEIN_661	AMP	0.88
PROTEIN_662	AMP	0.95
PROTEIN_663	AMP	0.87
PROTEIN_664	AMP	0.51
PROTEIN_665	AMP	0.96
PROTEIN_666	AMP	0.59
PROTEIN_667	AMP	0.93
PROTEIN_668	AMP	0.97
PROTEIN_669	NAMP	0.50
PROTEIN_670	AMP	0.58
PROTEIN_671	AMP	0.98
PROTEIN_672	NAMP	0.23
PROTEIN_673	NAMP	0.00
PROTEIN_674	NAMP	0.36
PROTEIN_675	AMP	0.97
PROTEIN_676	AMP	0.97
PROTEIN_677	AMP	0.80
PROTEIN_678	AMP	0.52
PROTEIN_679	AMP	0.89
PROTEIN_680	AMP	0.84
PROTEIN_681	AMP	0.99
PROTEIN_682	AMP	0.74
PROTEIN_683	NAMP	0.01
PROTEIN_684	AMP	0.79
PROTEIN_685	NAMP	0.26
PROTEIN_686	AMP	0.96
PROTEIN_687	AMP	0.64
PROTEIN_688	AMP	0.79
PROTEIN_689	NAMP	0.46
PROTEIN_690	AMP	0.90
PROTEIN_691	AMP	0.93
PROTEIN_692	AMP	0.90
PROTEIN_693	NAMP	0.07
PROTEIN_694	AMP	0.82
PROTEIN_695	AMP	0.78
PROTEIN_696	NAMP	0.34
PROTEIN_697	AMP	0.78
PROTEIN_698	AMP	0.97
PROTEIN_699	AMP	0.92
PROTEIN_700	AMP	0.87
PROTEIN_701	NAMP	0.34
PROTEIN_702	AMP	0.81
PROTEIN_703	AMP	0.57
PROTEIN_704	AMP	0.99
PROTEIN_705	AMP	0.93
PROTEIN_706	AMP	0.97
PROTEIN_707	AMP	0.87
PROTEIN_708	NAMP	0.09
PROTEIN_709	AMP	0.94
PROTEIN_710	NAMP	0.00
PROTEIN_711	AMP	1.00
PROTEIN_712	NAMP	0.10
PROTEIN_713	AMP	0.69
PROTEIN_714	NAMP	0.00
PROTEIN_715	AMP	0.50
PROTEIN_716	AMP	0.91
PROTEIN_717	AMP	0.51
PROTEIN_718	AMP	0.83
PROTEIN_719	AMP	1.00
PROTEIN_720	AMP	0.98
PROTEIN_721	NAMP	0.45
PROTEIN_722	AMP	0.90
PROTEIN_723	NAMP	0.02
PROTEIN_724	AMP	0.64
PROTEIN_725	AMP	0.82
PROTEIN_726	AMP	0.54
PROTEIN_727	AMP	0.87
PROTEIN_728	AMP	0.92
PROTEIN_729	NAMP	0.25
PROTEIN_730	AMP	0.75
PROTEIN_731	AMP	0.50
PROTEIN_732	NAMP	0.01
PROTEIN_733	AMP	0.98
PROTEIN_734	AMP	0.79
PROTEIN_735	AMP	0.52
PROTEIN_736	AMP	0.94
PROTEIN_737	AMP	0.85
PROTEIN_738	AMP	0.89
PROTEIN_739	AMP	0.95
PROTEIN_740	AMP	0.52
PROTEIN_741	NAMP	0.42
PROTEIN_742	AMP	0.94
PROTEIN_743	NAMP	0.02
PROTEIN_744	NAMP	0.42
PROTEIN_745	NAMP	0.20
PROTEIN_746	AMP	0.70
PROTEIN_747	AMP	0.55
PROTEIN_748	AMP	0.74
PROTEIN_749	AMP	0.52
PROTEIN_750	AMP	0.96
PROTEIN_751	AMP	0.93
PROTEIN_752	AMP	0.96
PROTEIN_753	AMP	0.84
PROTEIN_754	AMP	0.91
PROTEIN_755	NAMP	0.32
PROTEIN_756	NAMP	0.45
PROTEIN_757	AMP	0.92
PROTEIN_758	AMP	0.92
PROTEIN_759	AMP	0.92
PROTEIN_760	AMP	0.81
PROTEIN_761	AMP	0.98
PROTEIN_762	AMP	0.85
PROTEIN_763	AMP	0.50
PROTEIN_764	NAMP	0.19
PROTEIN_765	AMP	0.98
PROTEIN_766	AMP	0.99
PROTEIN_767	NAMP	0.27
PROTEIN_768	NAMP	0.43
PROTEIN_769	AMP	0.62
PROTEIN_770	AMP	0.97
PROTEIN_771	NAMP	0.20
PROTEIN_772	NAMP	0.42
PROTEIN_773	AMP	0.86
PROTEIN_774	AMP	0.69
PROTEIN_775	NAMP	0.07
PROTEIN_776	NAMP	0.29
PROTEIN_777	AMP	0.95
PROTEIN_778	AMP	0.82
PROTEIN_779	AMP	0.92
PROTEIN_780	AMP	0.90
PROTEIN_781	NAMP	0.10
PROTEIN_782	AMP	0.99
PROTEIN_783	AMP	0.99
PROTEIN_784	AMP	0.61
PROTEIN_785	AMP	0.93
PROTEIN_786	NAMP	0.01
PROTEIN_787	NAMP	0.45
PROTEIN_788	AMP	0.91
PROTEIN_789	AMP	0.98
PROTEIN_790	AMP	0.87
PROTEIN_791	NAMP	0.29
PROTEIN_792	AMP	0.99
PROTEIN_793	NAMP	0.50
PROTEIN_794	AMP	0.94
PROTEIN_795	AMP	0.87
PROTEIN_796	AMP	0.92
PROTEIN_797	AMP	0.95
PROTEIN_798	NAMP	0.08
PROTEIN_799	AMP	0.85
PROTEIN_800	NAMP	0.04
PROTEIN_801	AMP	0.81
PROTEIN_802	AMP	0.93
PROTEIN_803	AMP	0.52
PROTEIN_804	NAMP	0.34
PROTEIN_805	AMP	0.89
PROTEIN_806	AMP	0.90
PROTEIN_807	AMP	0.61
